Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
586891,586891 Led 60W Med A19 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
585448,585448 120W Led Motion Bulb,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573444,573444 60W Led A19 Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566687,566687 60W Cand Led 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564385,564385 40w Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566661,566661 40W LED Cand 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564898,564898 60W Cand Led 50k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
538319,588525 40W Led Cand 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576009,576009 100W Led Par30L Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564450,564450 40W Led Cand 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
572669,572669 60W Led F15 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564906,564906 60W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573410,573410 40W Led A19 Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576504,576504 65W Led BR40 Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576017,576017 100W Led Par30L Med 30k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
574392,574392 40W Led B11 Med 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576751,576751 65W Led BR30 Med 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
583161,583161 Led 65W Med BR30 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566695,566695 60W Led Med 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
577007,577007 125W Led Med 30k Flood,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566653,566653 25W Led Cand 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566679,566679 40W Led Med 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573311,573311 60W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573394,573394 60W Led Cand 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573329,573329 60W Cand Led 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564930,564930 40W Cand Led 50k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565000,565000 60W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564922,564922 60W Led BA11 50k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573295,573295 40W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564914,564914 60W Med Led 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573485,573485 60W Led A19 Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573337,573337 40W Led G25 Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
544874,544874 32W Led T8 UBulb 40k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
570846,570846 50W Led Med 22K 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565473,565473 60W Led A19 Bulb 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573402,573402 60W Led Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
